字头	释义
金	1<名>金子；黄金。《乐羊子妻》：“羊子尝行路，得遗～一饼。”【又】指铜。《荆轲刺秦王》：“秦王购之～千斤，邑万家。”2<名>泛指钱币；钱财。《报刘一丈书》：“则甘言媚词，作妇人状，袖～以私之。”3<名>金属的通称。《劝学》：“～就砺则利。”《过秦论》：“收天下之兵，聚之咸阳，销锋镝，铸以为～人十二。”4<名>金属制成的器皿器具。《木兰诗》：“朔气传～柝，寒光照铁衣。”5<形>像金属般的；比喻坚固。《过秦论》：“自为关之固，～城千里，子孙帝王万世之业也。”6<量>货币单位。周秦以黄金二十两为一镒，一镒为一金，两汉以黄金一斤为一金，汉以后以银一两为一金。《公输》：“子墨子曰：‘请献十～。’”《垓下之战》：“吾闻汉购我头千～。”《五人墓碑记》：“有贤士大夫，发五十～，买五人之脰而函之。”《左忠毅公逸事》：“持五十～，涕泣谋于禁卒。”7<名>金色；金黄色。《促织》：“巨身修尾，青项～翅。”
津	1<名>渡口。《杜少府之任蜀州》：“城阙辅三秦，风烟五～。”2<名>门路；门径。《晋书·陶侃传》：“欲之，困于无～耳。”3<名>津液，中医称人体内分泌的汗、泪、唾液等一切液体。《素问·调经论》：“人有精气～液。”【又】特指唾液。陆佃《埤雅·释草》：“今人望梅生～，食芥坠泪。”4<名>泛指其他液汁。《采草药》：“若有宿根，须取无茎叶时采，则～泽皆其根。”
矜	1<动>怜悯；同情。《陈情表》：“还在故老，犹蒙～育。”2<动>注重；检点。《尚书·旅獒》：“不～细行，终累大德。”3<动>自夸；夸耀。《项羽本纪赞》：“自～功伐，奋其私智而不师古。”4<动>庄重；自重。《论语·卫灵公》：“君子～而不争，群而不党。”5<形>得意；骄傲。《促织》：“虫翘然～鸣，似服主知。”6<名>矛、戟等兵器的木柄。《过秦论》：“锄耰棘～，非铦于钩戟长铩也。”
矜	<名>通“鳏”。鳏夫；老而无妻的人。《诗经·大雅·丞民》：“不侮～寡，不畏强御。”
衿	<名>衣襟。王粲《七哀》：“白露霑衣～。”
衿	<动>系；结。扬雄《反离骚》：“～芰茄之绿衣兮，被夫容之朱裳。”
觔	1<名>通“斤”，重量单位。《旧唐书·文宗纪上》：“每一石灰得盐地十二～一两。”2<名>通“筯”，肌腱或附在骨头上的韧带。王充《论衡·书虚》：“举鼎用国，力由～脉。”
襟	1<名>古代衣、袍的交领。宋玉《风赋》：“王廼披～而当之。”2<名>衣襟；前襟。衣服胸前的部分。《伶官传序》：“泣下沾～，何其衰也。”【又】〈名意动〉以……为衣襟。《滕王阁序》：“～三江而带五湖。”3<名>襟怀；胸怀。《滕王阁序》：“遥～甫畅，逸兴遄飞。”
仅	<副>仅仅；只才；不过。《项脊轩志》：“室～方丈，可容一人居。”
仅	1<副>几乎；将近；差不多。《柳毅传》：“后居南海，～四十年。”
卺	<名>古代婚礼用的酒器，以瓢为之。《礼记·昏义》：“合～而酳。”
紧	1<形>“松”反面。傅毅《舞赋》：“驰～急之弦张兮。”2<形>坚固；牢固。《管子·问》：“钩弦之造，戈戟之～。”3<形>密实；紧密。《范进中举》：“牙关咬～，不省人事。”4<形>急；猛。《长亭送别》：“碧云天，黄花地，西风～，北雁南飞。”
谨	1<形>谨慎；小心。《捕蛇者说》：“～食之，时而献焉。”2<动>约束；使……谨慎。《训俭示康》：“小人寡欲则能～身节用，远罪丰家。”3<动>谨慎从事；重视。《寡人之于国也》：“～庠序之教，申之以孝悌之义。”4<形>恭敬；郑重。《荆轲刺秦王》：“～斩樊於期头，及献燕之督亢之地图。”《陈情表》：“臣不胜犬马怖惧之情，～拜表以闻。”
锦	1<名>有色彩、花纹的丝织品。《公输》：“舍其～绣，邻有短褐而欲窃之。”2<形>比喻鲜艳华美。《岳阳楼记》：“沙鸥翔集，～鳞游泳。”
馑	1<名>蔬菜歉收。指灾荒。《尔雅·释天》：“谷不熟为饥，蔬不收为～。”2<名>泛指庄稼欠收；灾荒。《子路曾皙冉有公西华侍坐》：“加之以师旅，因之以饥～。”
瑾	<名>美玉。常“瑾瑜”连用。《九章·怀沙》：“怀～握瑜兮穷不知所示。”《山海经·西山经》：“其阳多～瑜之玉。”
尽	1<动>完；完尽；完了。《赤壁赋》：“肴核既～，杯盘狼藉。”2<动>全部用出。《寡人之于国也》：“寡人之于国也，～心焉耳矣。”【又】〈动使动〉使……完尽；竭尽；用尽。《黔之驴》：“断其喉，～其肉。”《谏太宗十思疏》：“智者～其谋，勇者竭其力。”3<动>完结；消亡。《捕蛇者说》：“退而甘食其土之有，以～吾齿。”《促织》：“转侧床头，惟思自～。”4<名>尽头。《赤壁之战》：“则物与我皆无～也，而又何羡乎。”5<动>达到顶点；穷极。《张衡传》：“妙～璇机之正。”6<副>全部；全都。《滕王阁序》：“萍水相逢，～是他乡之客。”7<副>极端；最。《论语·八佾》：“子谓《韶》～美矣，又～善也。”8<动>同“进”，进行。《邵公谏厉王弭谤》：“近臣～规。”
尽	1<动>尽量；尽可能。《礼记·曲礼》：“虚坐～后，食坐～后。”2<副>任凭；任随。武衍《宫词》：“惟有落红不禁，～教飞舞出宫墙。”
近	1<形>空间距离小，与“远”相对。《桃花源记》：“缘溪行，忘路之远～。”2<形>时间上距离短，与“久”“远”相对。《柳敬亭传》：“乃～年共称柳敬亭说书。”3<动>走近；靠近。《左忠毅公逸事》：“逆阉防伺甚严，虽家仆不得～。”4<名>近处；近旁。《察今》：“有道之士，贵以～知远。”5<动>亲近。《战国策·赵策》：“襄子必～幸子。”6<形>亲近的。《陈情表》：“外无期功强～之亲。”7<动>近似；接近；与……差异不大。《师说》：“位卑则足羞，官盛则～谀。”8<形>浅近；不够深厚或深奥。《答韦中立论师道书》：“仆道不笃，业甚浅～。”9<副>将近；差不多。《李愬雪夜入蔡州》：“闻愬军号令，应者～万人。”
进	1<动>前进；向前移动。《涉江》：“船容与而不～兮，淹回水而疑滞。”2<动>出仕；做官。《陈情表》：“臣之～退，实为狼狈。”《岳阳楼记》：“是～亦忧，退亦忧。”3<动>进献；进呈。《促织》：“翼日～宰，宰见其小。”4<动>进谏；劝谏。《邹忌讽齐王纳谏》：“时时而间～。”5<动>举荐；推荐。《史记·孙子吴起列传》：“于是忌～孙子于威王。”6<动>愈；超过。《庖丁解牛》：“臣之所好者，道也，～乎技矣。”7<动>进来；进入。《灌园叟晚逢仙女》：“缉捕使臣已将秋公解～。”8<名>指前后有几排房屋的大宅院中的一排房屋。《范进中举》：“就在东门大街上，三～三间。”
荩	1<名>一种野草，可用来编织器物。元稹《三遣悲怀》：“顾我无衣搜～箧。”2<名>通“烬”，没有烧尽的柴草。《长笛赋》：“～滞抗绝，中息更装。”3<动>通“进”，进用。《诗经·大雅·文王》：“王之～臣，无念尔祖。”
晋	1<动>进。班固《幽通赋》：“盍孟～以迨群兮。”2<动>通“搢”，插。3<名>周代诸侯国，在今山西、河北南部和陕西中部等地，公元前403年分为韩、赵、魏三国。4<名>朝代名。⒈公元265-420年，第一代君主是司马炎。原建都洛阳，公元317年迁都建康，迁都以前称为“西晋”，迁都以后称为“东晋”。⒉公元936-947年，五代之一，又称“后晋”，第一代君主是石敬塘。
浸	1<动>泡；淹没。《诗经·小雅·大东》：“有冽氿泉，无～获薪。”《史记·赵世家》：“引汾水灌其城，城不～者三版。”2<动>灌溉。《诗经·小雅·白华》：“滮池北流，～彼稻田。”【引】润泽；滋润。张衡《东京赋》：“泽～昆虫。”3<名>大水，湖泽。《庄子·逍遥游》：“大～稽天而不溺，大旱金石流土山焦而不热。”4<副>渐渐，逐渐。《说文解字叙》：“字者，言孳乳而～多也。”
浸	<动>通“侵”，侵犯。《列子·汤问》：“帝凭怒，～减龙伯之国使阨。”
烬	1<名>物体燃烧后的灰。《北史·吕思礼传》：“烛～夜有数升。”2<名>受灾后残余的人。《左传·成公二年》：“请收合余～，背城借一。”
赆	1<名>赠送路费或财物。《梁书·杨公则传》：“～送一无所取。”2<名>进贡的财物。顔延之《赭白马赋》：“或踰远而纳～。”
缙	1<名>浅赤色。《后汉书·蔡邕传》：“济济多士，端魏～綎。”2通“搢”，插。如“缙绅”。
搢	<动>插。《商君书·赏刑》：“～笏，作为乐。”
禁	1<动>禁止；制止。《训俭示康》：“居位者虽不能～，忍助之乎？”2<名>禁令；不准做什么的法规。《五蠹》：“儒以文乱法，侠以武犯～。”3<名>宫禁；皇帝居住的活动的地方。《史记·秦始皇本纪》：“二世常居～中。”4<动>监禁；关押。《魏书·高阳王雍传》：“别房幽～，不得干豫内政。”5<名>监狱；牢房。《狱中杂记》：“而狱中为老监者四，监五室，～卒居中央。”
禁	<动>堪；经受得起；承受得住。《登楼赋》：“悲旧乡之壅隔兮，涕横坠而弗～。”《与妻书》：“吾之意盖谓以汝之弱，必不能～失吾之悲。”
靳	1<名>套在辕刀胸部的皮革，也用作辕马的代称。《左传·定公九年》：“吾从子如骖之～。”2<形>吝惜；吝啬。《后汉书·崔寔传》：“悔不小～。”3<动>奚落；嘲笑。《左传·庄公十一年》：“宋公～之。”
殣	1<动>饿死。《大戴礼记·千乘》：“道无～者。”【又】饿死的人。《后汉书·马融传》：“自关以西，道～相望”2<动>掩埋；埋葬。《荀子·礼论》：“刑余罪人之丧……不得昼行，以昏～。”
觐	1<动>朝见帝王。《谭嗣同》：“至七月，乃扶病入～。”2<动>拜见；会见。《左传·昭公十六》：“宣子私～于子产。”【辨】朝，觐。“朝”指诸侯春天入朝见天子。“觐”本指诸侯秋天入见朝见天子。后来两者都指诸侯朝见帝王，不再有时间季节上的区别。
噤	<动>闭口；不说话。《史记·晁错传》：“臣恐天下之士～口不敢复言也。”【引】关闭。潘岳《西征赋》：“有～门而莫启。”
京	1<名>高大的土丘。《三国志·魏书·公孙瓒传》：“于堑里筑～，皆高五六丈。”2<形>高大；大。张衡《东京赋》：“发～仓，散禁财。”3<名>京城；首都。《琵琶行》：“我从去年辞帝～。”4<数>一千万。《察变》：“～垓年岁之中，每每员舆正不知几移几换而成此最后之奇。”
泾	<名>泾水，发源于甘肃，流入陕西与渭水相合。
经	1<名>织物的纵线，与“纬”相对。文同《织妇怨》：“皆言边幅好，自爱～纬密。”2<名>经络；经脉。《庖丁解牛》：“技～肯綮之未尝，而况大畖乎？”3<名>经典；经书。《师说》：“六艺～传皆通习之。”《过零丁洋》：“辛苦遭逢起一～。”4<名>我国古代图书四大类别之一，以儒学经传著术为主，与“史”、“子”、“集”相对。《复庵记》：“诸子及～史多所涉猎。”5<名>分界；界线。《察传》：“是非之～，不可不分。”6<动>上吊；缢。《史记·田单列传》：“～其颈于树枝。”7<动>经过；经历。《归去来兮辞》：“既窈窕以寻壑，亦崎岖而～丘。”8<动>治理。《左传·隐公十一年》：“礼，～国家，定社稷。”【又】<动>合符常理。《杜十娘怒沉百宝箱》：“海内必以兄为～之人。”
荆	1<名>一种落叶灌木，枝条可编筐篮。《兵车行》：“君不闻汉家山东二百州，千村万落生～杞。”2<名>用荆条做的刑杖。《廉颇蔺相如列传》：“肉袒负～，因宾客至相如门谢罪。”3<名>荆州，古“九州”之一，在今长江中游一带。4<名>春秋战国时楚国的别称。《察今》：“～人欲袭宋。”
